titolare	domanda_id	database
F.A.L.A. - SERGIO MARCHETTI - SRL	132	itapat_1990_180
RATTI FRANCO E RATTI ROBERTO A ANCONA	790	itapat_1986_1
GIORGI GIORGIO A ANCONA	1184	itapat_1979_1
BRAMATI ANGELO E PIERLORENZI PAOLO AD ANCONA	3799	itapat_1968_1
CALCATELLI ROBERTO A ANCONA	1931	itapat_1974_1
MARINELLI GIUSEPPE	316	itapat_1990_189
MONTI RUGGERO	659	itapat_1990_92
MONTI RUGGERO	208	itapat_1990_96
MONTI RUGGERO	658	itapat_1990_92
DELLA SALA BERARDINO A ANGERA VARESE	310	itapat_1986_3
DELLA SALA BERARDINO A ANGERA VARESE	2510	itapat_1985_2
DELLA SALA BERARDINO A ANGERA VARESE	3281	itapat_1983_3
CRISTIANI LUIGI A ANZIO ROMA	1618	itapat_1980_3
CRISTIANI LUIGI A ANZIO ITALIA	6688	itapat_1978_3
MANSELLA ANTONIO	243	itapat_1990_79
CRISTIANI LUIGI A ANZIO ROMA	7159	itapat_1976_1
CRISTIANI LUIGI A ANZIO ROMA	5715	itapat_1975_1
CRISTIANI LUIGI A ANZIO ROMA ITALIA	5630	itapat_1977_1
CRISTIANI LUIGI A ANZIO ITALIA	6687	itapat_1978_3
MANSELLA ANTONIO	248	itapat_1990_68
CRISTIANI LUIGI A ANZIO ROMA	2519	itapat_1977_2
CRISTIANI LUIGI A ANZIO ROMA LIDO MARECHIARO 3 ANZIO ROMA	1133	itapat_1981_3
COLOMBO MARIO A LAVINIO SCALO, ANZIO, ROMA	5005	itapat_1970_4
COLOMBO MARIO A LAVINIO SCALO ROMA	3215	itapat_1968_2
COLOMBO MARIO A LAVINIO SCALO ANZIO ROMA	3152	itapat_1970_1
COLOMBO MARIO A LAVINIO, ROMA	4850	itapat_1973_3
CRISTIANI LUIGI AD ANZIO ROMA LIDO MARECHIARO	3535	itapat_1970_4
CRISTIANI LUIGI A ANZIO ROMA	5890	itapat_1977_3
PR S.N.C. DI RUBINO VINCENZO E RUBINO ATTILIO	867	itapat_1990_165
GOZZI GIANFRANCO	171	itapat_1990_191
PR S.N.C. DI RUBINO VINCENZO E RUBINO ATTILIO	742	itapat_1990_134
GRANDI PIETRO	353	itapat_1990_3
P.R. NASTRI TRASPORTATORI S.N.C. DIRUBINO VINCENZO & RUBINO ATTILIO	971	itapat_1990_172
PR S.N.C. DI RUBINO VINCENZO E RUBINO ATTILIO	12	itapat_1990_159
AD AOSTA S.N.C. SATURNIK 5 DI PIGNATARO GIOVANNI E BERTELLI GIUSEPPE	2698	itapat_1970_1
MARTINELLI FRANCESCO	612	itapat_1990_121
TESTA GIUSEPPE	225	itapat_1990_175
MANTOVANI MASSIMO ELIO	983	itapat_1990_134
RICCIARDI ANTONIO UMBERTO AD APRILIA,LATINA	2693	itapat_1988_3
LATINI ENRICO	375	itapat_1990_31
RICCIARDI ANTONIO UMBERTO AD APRILIA,LATINA	4203	itapat_1988_2
ROMANO ANTONIO	922	itapat_1990_150
BARONE SALVATORE AUGUSTO AD ARADEO LECCE	7805	itapat_1969_1
BARONE SALVATORE AUGUSTO AD ARADEO LECCE	1587	itapat_1968_4
VISCONTI GIUSEPPE	516	itapat_1990_168
RATTI GIUSEPPE E RATTI SERGIO A ARCOLA SP	3306	itapat_1988_2
TINCANI RICCARDO E MALASPINA GIUSEPPE AD ARCOLA, LA SPEZIA	1506	itapat_1970_3
MOTTA TINO GIUSEPPE MOTTA NATALE ZAPPA EMILIA A ARCORE MILANO	2964	itapat_1985_3
PEREGO GIUSEPPE AD ARCORE MILANO	1002	itapat_1970_4
PEREGO GIUSEPPE AD ARCORE MILANO	1256	itapat_1969_2
PEREGO GIUSEPPE AD ARCORE MILANO	2888	itapat_1971_1
MOTTA TINO GIUSEPPE MOTTA NATALE ZAPPA EMILIA A ARCORE MILANO	1317	itapat_1985_3
PEREGO GIUSEPPE AD ARCORE MILANO	41	itapat_1970_2
